A,B,C,D,E,F,X,Y,Z
A10,B2,C9,D10,E10,F0,X3,Y0,Z10
A1,B6,C5,D4,E3,F0,X1,Y6,Z4
A1,B6,C5,D4,E3,F0,X1,Y7,Z2
A7,B2,C5,D10,E5,F9,X4,Y4,Z1
A9,B6,C2,D3,E2,F3,X5,Y3,Z8
A9,B6,C2,D3,E2,F3,X7,Y3,Z10
A1,B5,C2,D4,E1,F10,X10,Y2,Z1
A1,B5,C2,D4,E1,F10,X4,Y4,Z5
A10,B5,C3,D4,E3,F1,X0,Y0,Z8
A10,B5,C3,D4,E3,F1,X7,Y5,Z6
A9,B9,C4,D8,E9,F9,X0,Y0,Z9
A7,B9,C1,D4,E10,F0,X1,Y1,Z1
A10,B6,C6,D10,E2,F10,X3,Y6,Z2
A10,B6,C6,D10,E2,F10,X10,Y3,Z4
A10,B6,C6,D10,E2,F10,X2,Y5,Z3
A6,B4,C7,D9,E7,F0,X5,Y0,Z0
A6,B4,C7,D9,E7,F0,X1,Y6,Z4
A7,B2,C4,D5,E8,F5,X4,Y2,Z2
A10,B1,C2,D5,E5,F6,X1,Y9,Z2
A0,B1,C9,D1,E6,F9,X5,Y2,Z9
A0,B1,C9,D1,E6,F9,X3,Y1,Z9
A6,B5,C9,D2,E1,F5,X10,Y5,Z9
A6,B5,C9,D2,E1,F5,X1,Y7,Z1
A3,B4,C3,D0,E2,F7,X2,Y3,Z7
A3,B4,C3,D0,E2,F7,X9,Y1,Z5
A7,B0,C7,D8,E10,F10,X3,Y6,Z4
A8,B5,C5,D6,E1,F9,X10,Y6,Z10
A8,B5,C5,D6,E1,F9,X5,Y8,Z10
A7,B2,C10,D10,E9,F1,X8,Y4,Z1
A5,B6,C9,D1,E4,F5,X1,Y5,Z3
A5,B6,C9,D1,E4,F5,X9,Y0,Z2
A8,B6,C10,D10,E5,F2,X8,Y1,Z2
A6,B10,C6,D7,E2,F7,X7,Y1,Z7
A6,B10,C6,D7,E2,F7,X1,Y3,Z1
A6,B10,C6,D7,E2,F7,X2,Y0,Z10
A3,B2,C1,D3,E0,F5,X7,Y1,Z3
A7,B5,C5,D7,E4,F9,X9,Y3,Z4
A4,B10,C7,D1,E6,F2,X5,Y6,Z8
A4,B10,C7,D1,E6,F2,X2,Y4,Z5
A5,B8,C2,D7,E8,F10,X1,Y4,Z4
A5,B8,C2,D7,E8,F10,X0,Y10,Z7
A6,B10,C1,D6,E6,F7,X3,Y9,Z5
A6,B10,C1,D6,E6,F7,X4,Y9,Z0
A4,B8,C10,D9,E10,F5,X1,Y1,Z1
A4,B8,C10,D9,E10,F5,X7,Y3,Z0
A2,B9,C2,D9,E1,F2,X8,Y4,Z5
A2,B9,C2,D9,E1,F2,X1,Y3,Z6
A2,B9,C2,D9,E1,F2,X4,Y2,Z5
A5,B6,C9,D5,E2,F8,X1,Y5,Z3
A5,B6,C9,D5,E2,F8,X9,Y0,Z2
A7,B3,C5,D7,E0,F4,X8,Y0,Z9
A7,B3,C5,D7,E0,F4,X3,Y3,Z6
A0,B5,C0,D10,E8,F6,X1,Y4,Z10
A0,B0,C9,D5,E8,F9,X4,Y1,Z0
A0,B0,C9,D5,E8,F9,X2,Y7,Z8
A0,B0,C9,D5,E8,F9,X7,Y6,Z8
A0,B0,C9,D5,E8,F9,X10,Y3,Z8
A0,B0,C9,D5,E8,F9,X0,Y2,Z8
A5,B4,C3,D6,E5,F10,X8,Y5,Z7
A6,B8,C10,D5,E8,F1,X9,Y5,Z9
A7,B0,C0,D9,E10,F5,X6,Y4,Z7
A8,B9,C3,D10,E2,F9,X8,Y7,Z1
A8,B9,C3,D10,E2,F9,X7,Y8,Z7
A8,B9,C3,D10,E2,F9,X9,Y1,Z6
A8,B9,C3,D10,E2,F9,X7,Y1,Z0
A8,B9,C3,D10,E2,F9,X7,Y2,Z2
A9,B1,C9,D10,E2,F6,X3,Y5,Z6
A9,B1,C9,D10,E2,F6,X4,Y1,Z2
A2,B0,C4,D7,E2,F6,X2,Y9,Z10
A3,B8,C7,D4,E10,F6,X8,Y5,Z1
A3,B8,C7,D4,E10,F6,X1,Y0,Z4
A3,B8,C7,D4,E10,F6,X4,Y10,Z2
A7,B7,C4,D6,E5,F10,X0,Y10,Z10
A8,B4,C3,D1,E6,F3,X0,Y2,Z0
A2,B4,C5,D5,E2,F6,X2,Y8,Z8
A2,B2,C7,D1,E1,F8,X8,Y3,Z0
A6,B2,C9,D8,E1,F7,X8,Y10,Z6
A6,B2,C9,D8,E1,F7,X1,Y5,Z9
A6,B2,C9,D8,E1,F7,X2,Y10,Z3
A7,B7,C5,D0,E9,F0,X5,Y5,Z0
A6,B0,C6,D7,E0,F6,X4,Y10,Z6
A6,B0,C6,D7,E0,F6,X9,Y8,Z8
A6,B0,C6,D7,E0,F6,X10,Y6,Z5
A6,B0,C6,D7,E0,F6,X8,Y8,Z9
A4,B7,C8,D5,E5,F1,X5,Y0,Z0
A4,B7,C8,D5,E5,F1,X0,Y3,Z10
A1,B1,C8,D0,E0,F10,X6,Y8,Z4
