A,B,D,E
A0,B0,D10,E6
A0,B1,D0,E6
A0,B1,D5,E3
A0,B1,D8,E8
A0,B10,D9,E1
A0,B2,D3,E8
A0,B2,D5,E5
A0,B2,D8,E4
A0,B3,D10,E0
A0,B3,D4,E3
A0,B3,D9,E0
A0,B4,D8,E0
A0,B4,D8,E0
A0,B4,D8,E1
A0,B6,D2,E6
A0,B9,D10,E4
A0,B9,D7,E3
A1,B0,D3,E6
A1,B1,D0,E4
A1,B1,D3,E1
A1,B10,D5,E5
A1,B2,D7,E3
A1,B2,D7,E7
A1,B3,D8,E4
A1,B3,D9,E0
A1,B4,D6,E10
A1,B6,D0,E7
A1,B7,D2,E0
A1,B7,D3,E0
A1,B8,D1,E1
A1,B9,D0,E7
A1,B9,D3,E6
A1,B9,D4,E0
A1,B9,D4,E9
A1,B9,D6,E4
A10,B0,D0,E3
A10,B0,D1,E1
A10,B0,D1,E3
A10,B0,D5,E5
A10,B0,D6,E3
A10,B0,D6,E9
A10,B1,D4,E0
A10,B1,D5,E0
A10,B1,D5,E7
A10,B10,D8,E10
A10,B2,D10,E1
A10,B2,D6,E4
A10,B2,D7,E2
A10,B3,D8,E5
A10,B4,D1,E3
A10,B4,D3,E1
A10,B4,D7,E8
A10,B5,D5,E5
A10,B5,D9,E3
A10,B5,D9,E7
A10,B6,D3,E5
A10,B7,D10,E9
A10,B7,D6,E5
A10,B8,D0,E4
A10,B8,D0,E6
A10,B8,D3,E9
A10,B8,D6,E1
A10,B9,D5,E4
A10,B9,D6,E0
A2,B1,D10,E0
A2,B1,D2,E1
A2,B1,D5,E7
A2,B10,D2,E9
A2,B10,D7,E4
A2,B10,D8,E10
A2,B2,D10,E0
A2,B2,D9,E0
A2,B4,D5,E10
A2,B4,D8,E10
A2,B5,D1,E7
A2,B5,D3,E4
A2,B5,D4,E4
A2,B6,D4,E9
A2,B6,D8,E9
A2,B8,D2,E4
A2,B8,D7,E0
A2,B8,D9,E9
A2,B9,D5,E4
A2,B9,D8,E5
A3,B0,D4,E6
A3,B1,D10,E1
A3,B1,D6,E0
A3,B1,D7,E3
A3,B10,D8,E7
A3,B10,D9,E3
A3,B2,D3,E1
A3,B2,D4,E2
A3,B2,D6,E5
A3,B3,D3,E7
A3,B3,D4,E7
A3,B3,D9,E3
A3,B4,D2,E9
A3,B4,D5,E7
A3,B6,D0,E5
A3,B7,D10,E3
A3,B8,D6,E1
A3,B8,D6,E7
A3,B8,D9,E9
A4,B0,D4,E1
A4,B0,D6,E4
A4,B1,D9,E5
A4,B2,D2,E10
A4,B2,D4,E3
A4,B5,D8,E10
A4,B6,D10,E3
A4,B6,D10,E8
A4,B6,D8,E8
A4,B7,D0,E2
A4,B7,D10,E7
A4,B7,D7,E1
A4,B9,D10,E10
A4,B9,D9,E7
A5,B0,D2,E7
A5,B0,D5,E9
A5,B0,D9,E7
A5,B1,D8,E8
A5,B10,D1,E8
A5,B10,D3,E6
A5,B2,D0,E7
A5,B2,D1,E7
A5,B3,D3,E3
A5,B3,D4,E9
A5,B3,D6,E10
A5,B4,D3,E1
A5,B5,D10,E10
A5,B6,D6,E2
A5,B6,D7,E4
A5,B8,D0,E9
A5,B8,D10,E2
A5,B8,D3,E5
A5,B8,D6,E10
A5,B9,D10,E3
A6,B0,D1,E5
A6,B0,D6,E7
A6,B1,D3,E3
A6,B10,D3,E6
A6,B10,D6,E2
A6,B2,D5,E10
A6,B3,D5,E9
A6,B3,D8,E9
A6,B5,D1,E10
A6,B6,D4,E0
A6,B7,D6,E2
A6,B7,D8,E7
A6,B9,D4,E1
A6,B9,D4,E5
A6,B9,D5,E5
A7,B0,D4,E5
A7,B0,D7,E8
A7,B1,D5,E10
A7,B10,D4,E2
A7,B2,D5,E7
A7,B6,D6,E1
A7,B7,D0,E7
A7,B7,D1,E10
A7,B7,D4,E2
A7,B8,D1,E2
A7,B8,D5,E4
A7,B8,D5,E4
A7,B8,D8,E6
A7,B9,D7,E3
A7,B9,D9,E1
A8,B0,D3,E7
A8,B0,D3,E9
A8,B0,D6,E3
A8,B10,D1,E6
A8,B3,D10,E7
A8,B4,D1,E1
A8,B4,D5,E8
A8,B4,D8,E7
A8,B5,D7,E6
A8,B8,D2,E4
A8,B8,D3,E4
A8,B9,D10,E8
A9,B1,D2,E1
A9,B1,D9,E1
A9,B10,D0,E2
A9,B10,D10,E8
A9,B10,D8,E7
A9,B2,D2,E6
A9,B2,D4,E10
A9,B3,D0,E5
A9,B3,D8,E6
A9,B4,D0,E9
A9,B4,D1,E4
A9,B4,D1,E9
A9,B4,D3,E5
A9,B5,D10,E5
A9,B5,D4,E10
A9,B7,D10,E0
A9,B7,D2,E4
A9,B7,D3,E4
A9,B7,D4,E6
A9,B8,D1,E2
A9,B8,D6,E0
